dataset,classifier,metric,experimento,experimento_num,valor,author
Automobile,decision_tree,accuracy,v1,1,0.7741935483870968,eduardo-cavazin
Automobile,decision_tree,accuracy,v2,2,0.7419354838709677,eduardo-cavazin
Automobile,decision_tree,accuracy,v3,3,0.8387096774193549,eduardo-cavazin
Automobile,decision_tree,accuracy,v4,4,0.8709677419354839,eduardo-cavazin
Automobile,decision_tree,accuracy,v5,5,0.7714285714285715,eduardo-cavazin
Automobile,decision_tree,accuracy,v6,6,0.8709677419354839,eduardo-cavazin
Automobile,decision_tree,accuracy,v7,7,0.8387096774193549,eduardo-cavazin
Automobile,decision_tree,accuracy,v8,8,0.8387096774193549,eduardo-cavazin
Automobile,decision_tree,accuracy,v9,9,0.8387096774193549,eduardo-cavazin
Automobile,decision_tree,accuracy,v10,10,0.8285714285714286,eduardo-cavazin
Automobile,decision_tree,accuracy,v11,11,0.8709677419354839,eduardo-cavazin
Automobile,decision_tree,accuracy,v12,12,0.8387096774193549,eduardo-cavazin
Automobile,decision_tree,accuracy,v13,13,0.6774193548387096,eduardo-cavazin
Automobile,decision_tree,accuracy,v14,14,0.7096774193548387,eduardo-cavazin
Automobile,decision_tree,accuracy,v15,15,0.8571428571428571,eduardo-cavazin
Automobile,decision_tree,accuracy,v16,16,0.935483870967742,eduardo-cavazin
Automobile,decision_tree,accuracy,v17,17,0.8064516129032258,eduardo-cavazin
Automobile,decision_tree,accuracy,v18,18,0.7419354838709677,eduardo-cavazin
Automobile,decision_tree,accuracy,v19,19,0.6451612903225806,eduardo-cavazin
Automobile,decision_tree,accuracy,v20,20,0.6857142857142857,eduardo-cavazin
Automobile,decision_tree,f1_score,v1,1,0.6227106227106227,eduardo-cavazin
Automobile,decision_tree,f1_score,v2,2,0.6063725490196078,eduardo-cavazin
Automobile,decision_tree,f1_score,v3,3,0.8107961603613777,eduardo-cavazin
Automobile,decision_tree,f1_score,v4,4,0.6799422799422801,eduardo-cavazin
Automobile,decision_tree,f1_score,v5,5,0.6189002568312912,eduardo-cavazin
Automobile,decision_tree,f1_score,v6,6,0.8384800384800385,eduardo-cavazin
Automobile,decision_tree,f1_score,v7,7,0.8032517482517483,eduardo-cavazin
Automobile,decision_tree,f1_score,v8,8,0.8165800865800866,eduardo-cavazin
Automobile,decision_tree,f1_score,v9,9,0.8288429406850458,eduardo-cavazin
Automobile,decision_tree,f1_score,v10,10,0.7082517482517483,eduardo-cavazin
Automobile,decision_tree,f1_score,v11,11,0.7385296574770259,eduardo-cavazin
Automobile,decision_tree,f1_score,v12,12,0.692314448836188,eduardo-cavazin
Automobile,decision_tree,f1_score,v13,13,0.6906060606060607,eduardo-cavazin
Automobile,decision_tree,f1_score,v14,14,0.6302936829252619,eduardo-cavazin
Automobile,decision_tree,f1_score,v15,15,0.8577677224736049,eduardo-cavazin
Automobile,decision_tree,f1_score,v16,16,0.9487329434697857,eduardo-cavazin
Automobile,decision_tree,f1_score,v17,17,0.5044444444444445,eduardo-cavazin
Automobile,decision_tree,f1_score,v18,18,0.6615402141717931,eduardo-cavazin
Automobile,decision_tree,f1_score,v19,19,0.5416971916971917,eduardo-cavazin
Automobile,decision_tree,f1_score,v20,20,0.6933333333333332,eduardo-cavazin
Automobile,knn,accuracy,v1,1,0.7096774193548387,eduardo-cavazin
Automobile,knn,accuracy,v2,2,0.5161290322580645,eduardo-cavazin
Automobile,knn,accuracy,v3,3,0.5483870967741935,eduardo-cavazin
Automobile,knn,accuracy,v4,4,0.5483870967741935,eduardo-cavazin
Automobile,knn,accuracy,v5,5,0.4571428571428571,eduardo-cavazin
Automobile,knn,accuracy,v6,6,0.4838709677419355,eduardo-cavazin
Automobile,knn,accuracy,v7,7,0.6129032258064516,eduardo-cavazin
Automobile,knn,accuracy,v8,8,0.5161290322580645,eduardo-cavazin
Automobile,knn,accuracy,v9,9,0.5483870967741935,eduardo-cavazin
Automobile,knn,accuracy,v10,10,0.5714285714285714,eduardo-cavazin
Automobile,knn,accuracy,v11,11,0.6451612903225806,eduardo-cavazin
Automobile,knn,accuracy,v12,12,0.7419354838709677,eduardo-cavazin
Automobile,knn,accuracy,v13,13,0.5806451612903226,eduardo-cavazin
Automobile,knn,accuracy,v14,14,0.3548387096774194,eduardo-cavazin
Automobile,knn,accuracy,v15,15,0.5428571428571428,eduardo-cavazin
Automobile,knn,accuracy,v16,16,0.5806451612903226,eduardo-cavazin
Automobile,knn,accuracy,v17,17,0.6774193548387096,eduardo-cavazin
Automobile,knn,accuracy,v18,18,0.5161290322580645,eduardo-cavazin
Automobile,knn,accuracy,v19,19,0.6129032258064516,eduardo-cavazin
Automobile,knn,accuracy,v20,20,0.3714285714285714,eduardo-cavazin
Automobile,knn,f1_score,v1,1,0.6548387096774194,eduardo-cavazin
Automobile,knn,f1_score,v2,2,0.4109311740890688,eduardo-cavazin
Automobile,knn,f1_score,v3,3,0.4142704517704518,eduardo-cavazin
Automobile,knn,f1_score,v4,4,0.4261437908496732,eduardo-cavazin
Automobile,knn,f1_score,v5,5,0.3579365079365079,eduardo-cavazin
Automobile,knn,f1_score,v6,6,0.3199197860962566,eduardo-cavazin
Automobile,knn,f1_score,v7,7,0.4641284641284641,eduardo-cavazin
Automobile,knn,f1_score,v8,8,0.373015873015873,eduardo-cavazin
Automobile,knn,f1_score,v9,9,0.3424723424723424,eduardo-cavazin
Automobile,knn,f1_score,v10,10,0.4366300366300367,eduardo-cavazin
Automobile,knn,f1_score,v11,11,0.3731481481481482,eduardo-cavazin
Automobile,knn,f1_score,v12,12,0.5985797827903091,eduardo-cavazin
Automobile,knn,f1_score,v13,13,0.4536651583710407,eduardo-cavazin
Automobile,knn,f1_score,v14,14,0.287037037037037,eduardo-cavazin
Automobile,knn,f1_score,v15,15,0.3845506345506346,eduardo-cavazin
Automobile,knn,f1_score,v16,16,0.2769063180827886,eduardo-cavazin
Automobile,knn,f1_score,v17,17,0.6269980506822612,eduardo-cavazin
Automobile,knn,f1_score,v18,18,0.4048447204968944,eduardo-cavazin
Automobile,knn,f1_score,v19,19,0.5167378917378918,eduardo-cavazin
Automobile,knn,f1_score,v20,20,0.2808143547273982,eduardo-cavazin
Automobile,naive_bayes,accuracy,v1,1,0.4516129032258064,eduardo-cavazin
Automobile,naive_bayes,accuracy,v2,2,0.5806451612903226,eduardo-cavazin
Automobile,naive_bayes,accuracy,v3,3,0.5806451612903226,eduardo-cavazin
Automobile,naive_bayes,accuracy,v4,4,0.4516129032258064,eduardo-cavazin
Automobile,naive_bayes,accuracy,v5,5,0.3428571428571428,eduardo-cavazin
Automobile,naive_bayes,accuracy,v6,6,0.5161290322580645,eduardo-cavazin
Automobile,naive_bayes,accuracy,v7,7,0.5483870967741935,eduardo-cavazin
Automobile,naive_bayes,accuracy,v8,8,0.5161290322580645,eduardo-cavazin
Automobile,naive_bayes,accuracy,v9,9,0.5483870967741935,eduardo-cavazin
Automobile,naive_bayes,accuracy,v10,10,0.4571428571428571,eduardo-cavazin
Automobile,naive_bayes,accuracy,v11,11,0.5483870967741935,eduardo-cavazin
Automobile,naive_bayes,accuracy,v12,12,0.5161290322580645,eduardo-cavazin
Automobile,naive_bayes,accuracy,v13,13,0.4838709677419355,eduardo-cavazin
Automobile,naive_bayes,accuracy,v14,14,0.4516129032258064,eduardo-cavazin
Automobile,naive_bayes,accuracy,v15,15,0.4571428571428571,eduardo-cavazin
Automobile,naive_bayes,accuracy,v16,16,0.4516129032258064,eduardo-cavazin
Automobile,naive_bayes,accuracy,v17,17,0.4516129032258064,eduardo-cavazin
Automobile,naive_bayes,accuracy,v18,18,0.4838709677419355,eduardo-cavazin
Automobile,naive_bayes,accuracy,v19,19,0.4516129032258064,eduardo-cavazin
Automobile,naive_bayes,accuracy,v20,20,0.5714285714285714,eduardo-cavazin
Automobile,naive_bayes,f1_score,v1,1,0.3161904761904762,eduardo-cavazin
Automobile,naive_bayes,f1_score,v2,2,0.3267142214510635,eduardo-cavazin
Automobile,naive_bayes,f1_score,v3,3,0.5336363636363637,eduardo-cavazin
Automobile,naive_bayes,f1_score,v4,4,0.3914285714285714,eduardo-cavazin
Automobile,naive_bayes,f1_score,v5,5,0.3169172932330826,eduardo-cavazin
Automobile,naive_bayes,f1_score,v6,6,0.3782558021688456,eduardo-cavazin
Automobile,naive_bayes,f1_score,v7,7,0.4982857142857142,eduardo-cavazin
Automobile,naive_bayes,f1_score,v8,8,0.4596425796425796,eduardo-cavazin
Automobile,naive_bayes,f1_score,v9,9,0.5422077922077922,eduardo-cavazin
Automobile,naive_bayes,f1_score,v10,10,0.3356060606060606,eduardo-cavazin
Automobile,naive_bayes,f1_score,v11,11,0.3428571428571428,eduardo-cavazin
Automobile,naive_bayes,f1_score,v12,12,0.4945209176788124,eduardo-cavazin
Automobile,naive_bayes,f1_score,v13,13,0.4676190476190475,eduardo-cavazin
Automobile,naive_bayes,f1_score,v14,14,0.4557142857142857,eduardo-cavazin
Automobile,naive_bayes,f1_score,v15,15,0.5022644022644023,eduardo-cavazin
Automobile,naive_bayes,f1_score,v16,16,0.3466666666666666,eduardo-cavazin
Automobile,naive_bayes,f1_score,v17,17,0.4705882352941176,eduardo-cavazin
Automobile,naive_bayes,f1_score,v18,18,0.4056364687943635,eduardo-cavazin
Automobile,naive_bayes,f1_score,v19,19,0.3309283309283309,eduardo-cavazin
Automobile,naive_bayes,f1_score,v20,20,0.5387362637362637,eduardo-cavazin
Automobile,perceptron,accuracy,v1,1,0.2258064516129032,eduardo-cavazin
Automobile,perceptron,accuracy,v2,2,0.4516129032258064,eduardo-cavazin
Automobile,perceptron,accuracy,v3,3,0.6774193548387096,eduardo-cavazin
Automobile,perceptron,accuracy,v4,4,0.6451612903225806,eduardo-cavazin
Automobile,perceptron,accuracy,v5,5,0.4571428571428571,eduardo-cavazin
