dataset,classifier,metric,experimento,experimento_num,valor,author
Automobile,naive_bayes,f1_score,v1,1,0.3161904761904762,eduardo-cavazin
Automobile,naive_bayes,f1_score,v2,2,0.3267142214510635,eduardo-cavazin
Automobile,naive_bayes,f1_score,v3,3,0.5336363636363637,eduardo-cavazin
Automobile,naive_bayes,f1_score,v4,4,0.3914285714285714,eduardo-cavazin
Automobile,naive_bayes,f1_score,v5,5,0.3169172932330826,eduardo-cavazin
Automobile,naive_bayes,f1_score,v6,6,0.3782558021688456,eduardo-cavazin
Automobile,naive_bayes,f1_score,v7,7,0.4982857142857142,eduardo-cavazin
Automobile,naive_bayes,f1_score,v8,8,0.4596425796425796,eduardo-cavazin
Automobile,naive_bayes,f1_score,v9,9,0.5422077922077922,eduardo-cavazin
Automobile,naive_bayes,f1_score,v10,10,0.3356060606060606,eduardo-cavazin
Automobile,naive_bayes,f1_score,v11,11,0.3428571428571428,eduardo-cavazin
Automobile,naive_bayes,f1_score,v12,12,0.4945209176788124,eduardo-cavazin
Automobile,naive_bayes,f1_score,v13,13,0.4676190476190475,eduardo-cavazin
Automobile,naive_bayes,f1_score,v14,14,0.4557142857142857,eduardo-cavazin
Automobile,naive_bayes,f1_score,v15,15,0.5022644022644023,eduardo-cavazin
Automobile,naive_bayes,f1_score,v16,16,0.3466666666666666,eduardo-cavazin
Automobile,naive_bayes,f1_score,v17,17,0.4705882352941176,eduardo-cavazin
Automobile,naive_bayes,f1_score,v18,18,0.4056364687943635,eduardo-cavazin
Automobile,naive_bayes,f1_score,v19,19,0.3309283309283309,eduardo-cavazin
Automobile,naive_bayes,f1_score,v20,20,0.5387362637362637,eduardo-cavazin
Car Evaluation,naive_bayes,f1_score,v1,1,0.5454545454545454,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v2,2,0.5454545454545454,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v3,3,0.5454545454545454,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v4,4,0.5454545454545454,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v5,5,0.5454545454545454,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v6,6,0.6744186046511628,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v7,7,0.6744186046511628,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v8,8,0.6744186046511628,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v9,9,0.6744186046511628,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v10,10,0.6744186046511628,vitor-oliveira
