nome_dataset,nome_classificador,metrica,resultado_1,resultado_2,resultado_3,resultado_4,resultado_5,resultado_6,resultado_7,resultado_8,resultado_9,resultado_10,resultado_11,resultado_12,resultado_13,resultado_14,resultado_15,resultado_16,resultado_17,resultado_18,resultado_19,resultado_20
accelerator-mobile,perceptron,F1,0.496,0.495,0.495,0.496,0.495,0.495,0.495,0.495,0.496,0.496,0.497,0.494,0.498,0.495,0.496,0.495,0.497,0.495,0.496,0.495
accelerator-mobile,perceptron,ACC,0.982,0.981,0.982,0.984,0.982,0.982,0.98,0.981,0.984,0.984,0.983,0.982,0.984,0.981,0.983,0.982,0.983,0.981,0.984,0.982
accelerator-mobile,svm,F1,0.829,0.813,0.782,0.827,0.788,0.803,0.832,0.8,0.799,0.825,0.830,0.812,0.828,0.815,0.831,0.814,0.829,0.813,0.827,0.816
accelerator-mobile,svm,ACC,0.99,0.988,0.987,0.99,0.987,0.988,0.989,0.987,0.989,0.99,0.988,0.989,0.99,0.988,0.99,0.987,0.99,0.988,0.989,0.988
accelerator-mobile,bayes,F1,0.496,0.495,0.495,0.62,0.495,0.496,0.652,0.495,0.496,0.496,0.497,0.495,0.496,0.495,0.497,0.495,0.496,0.495,0.497,0.495
accelerator-mobile,bayes,ACC,0.982,0.981,0.982,0.975,0.982,0.982,0.975,0.981,0.984,0.984,0.983,0.982,0.984,0.981,0.983,0.982,0.983,0.981,0.984,0.982
accelerator-mobile,trees,F1,0.914,0.917,0.924,0.907,0.934,0.913,0.924,0.922,0.933,0.91,0.915,0.918,0.925,0.911,0.935,0.914,0.926,0.913,0.934,0.912
accelerator-mobile,trees,ACC,0.994,0.994,0.995,0.994,0.995,0.993,0.994,0.994,0.996,0.994,0.995,0.994,0.996,0.993,0.995,0.994,0.995,0.993,0.996,0.994
accelerator-mobile,knn,F1,0.853,0.821,0.83,0.843,0.829,0.834,0.853,0.831,0.803,0.854,0.852,0.822,0.831,0.844,0.830,0.835,0.854,0.832,0.804,0.855
accelerator-mobile,knn,ACC,0.99,0.987,0.988,0.99,0.988,0.989,0.989,0.987,0.987,0.99,0.988,0.989,0.99,0.988,0.99,0.987,0.99,0.988,0.989,0.988
